path,hash_id,documentType
belgium/Decisions,585d86552300466e8edcfc9cd3f39a78,GDPR
belgium/Decisions,6ff6ad4b1a9dc5f742066c5836b3f01c,GDPR
belgium/Decisions,ab26db92c4c449f1bfc79c637a994291,GDPR
belgium/Decisions,dca391a0fe5c7517e5e70b70ad22b4f7,GDPR
belgium/Decisions,1796eeeb36f46b981034de19723eff29,non-GDPR
belgium/Decisions,b67da65060467ee4bd9039844424a1ee,needProcess
belgium/Decisions,aa1a0bfb39e3d810e4b1bc25b2096e73,GDPR
belgium/Decisions,695f700dd2808142b6329f1ead952cef,GDPR
belgium/Decisions,efec4d5643ff9b8b00f50f0b393a6aa1,needProcess
belgium/Decisions,e7c4b19f6f30b223b12e431624f1fe3c,GDPR
belgium/Decisions,dac322b0e41c27c9a4bba34c8ecd02da,GDPR
belgium/Decisions,84d103d421d6c37681bb584131aefef4,GDPR
belgium/Decisions,807a78c0ffb962dfe8ebc2c1b1b5acb0,needProcess
belgium/Decisions,7eb4418864cce48934746f698eabc23f,GDPR
belgium/Decisions,7dd08223ad8e79abe45d06439913f404,needProcess
belgium/Decisions,b65ac7ad8967634bb76d5f369d204349,GDPR
belgium/Decisions,8716ebbfaadddabe93d9972f2c225593,GDPR
belgium/Decisions,2881d36cd8da49866e94d78b406fbe4d,non-GDPR
belgium/Decisions,2e65cfde100e309cd9be0814a8ac338a,needProcess
belgium/Decisions,5832d70a42a1497eaa7ca4fff2e9843f,needProcess
belgium/Decisions,ba408b6d5358dd912dfedd4252d38fd5,GDPR
belgium/Decisions,d7f15b2923b66c9cd7be595f105a7707,GDPR
belgium/Decisions,e980c941e5d315ae90d0fa9f6e48a2ff,GDPR
belgium/Decisions,071515061e3fd5d6204780f4e1d65c69,needProcess
belgium/Decisions,d7e5029e11da77bc33b582191c61e062,GDPR
belgium/Decisions,c7a513e5f1a2fe8df6764d9668cbd3cf,GDPR
belgium/Decisions,b1a089f4540944c580a2a5b1e0d69040,GDPR
belgium/Decisions,9193418854c3473232a067e6999eee80,GDPR
belgium/Decisions,da325cda0407c3c1abe4a525679934e7,non-GDPR
belgium/Decisions,947a6c5a54af8e41021998de90a7a7ad,GDPR
belgium/Decisions,19a43461e2acf9ba3b7f9b76e9437066,needProcess
belgium/Decisions,034313623f41bb17638313ff1c179e28,GDPR
belgium/Decisions,d867b43f39774d0eab9914d332b9b323,needProcess
belgium/Decisions,2b0cb2ccb72ee34bc969b44efbe9b380,GDPR
belgium/Decisions,c10b0b0216ccb2b2b503fcc670efc2a2,GDPR
belgium/Decisions,6c488f6e0efa2b7a480f6651b9ddda39,needProcess
belgium/Decisions,348500b305b90cd00938ef5b7343889c,needProcess
